,City,Country,Date,Cloudiness,Humidity,Max Temp,Wind Speed,Lat,Lng
0,Yellowknife,CA,1580236142,90,84,1.99,8.05,62.46,-114.35
1,Ilmatsalu,EE,1580236292,100,85,35.6,13.87,58.39,26.56
2,Cayenne,GF,1580236340,75,66,86.0,10.29,4.93,-52.33
3,Atuona,PF,1580236363,1,79,80.98,15.19,-9.8,-139.03
4,Coahuayana Viejo,MX,1580236364,40,56,73.4,6.93,18.73,-103.68
5,Rikitea,PF,1580236365,100,79,79.0,11.34,-23.12,-134.97
6,Qaanaaq,GL,1580236367,96,80,-11.74,2.01,77.48,-69.36
7,Nar'yan-Mar,RU,1580236299,0,95,-15.05,8.61,67.67,53.09
8,Ushuaia,AR,1580236369,40,81,48.2,27.51,-54.8,-68.3
9,Meulaboh,ID,1580236370,100,77,82.36,23.38,4.14,96.13
10,Khatanga,RU,1580236302,81,97,-5.8,7.99,71.97,102.5
11,Luganville,VU,1580236467,75,96,72.64,1.03,-15.53,167.17
12,Pimentel,PE,1580236448,20,29,66.2,13.87,-6.84,-79.93
13,Airai,TL,1580236306,100,86,68.67,4.0,-8.93,125.41
14,Jamestown,US,1580236451,90,86,33.8,13.87,42.1,-79.24
15,Longyearbyen,SJ,1580236161,83,71,3.2,8.05,78.22,15.64
16,Sao Joao da Barra,BR,1580236453,20,49,93.2,4.7,-21.64,-41.05
