,City,Country,Date,Cloudiness,Humidity,Max Temp,Wind Speed,Lat,Lng
0,Bambous Virieux,MU,1580256981,20,88,73.0,6.93,-20.34,57.76
1,Bredasdorp,ZA,1580257224,81,88,66.2,6.96,-34.53,20.04
2,Rikitea,PF,1580257161,100,80,79.59,10.31,-23.12,-134.97
3,Iwaki,JP,1580257226,75,100,57.0,21.92,37.05,140.88
4,Paamiut,GL,1580257227,79,52,15.6,13.29,61.99,-49.67
5,Lebu,CL,1580257228,10,60,55.35,12.48,-37.62,-73.65
6,Shache,CN,1580257230,57,69,21.61,4.07,38.42,77.24
7,Saint-Pierre,RE,1580257231,75,68,72.0,6.93,-21.34,55.48
8,Ushuaia,AR,1580257232,75,81,42.8,32.21,-54.8,-68.3
9,San Juan Bautista,PE,1580257233,90,83,75.2,6.93,-14.01,-75.74
10,Alofi,NU,1580257159,40,74,86.0,6.93,-19.06,-169.92
11,Punta Arenas,CL,1580257155,75,61,48.2,29.97,-53.15,-70.92
12,Mount Gambier,AU,1580257236,40,77,64.4,4.7,-37.83,140.77
13,Albany,US,1580257237,90,59,33.8,13.87,42.6,-73.97
14,Barinas,VE,1580257239,23,51,83.77,7.05,8.62,-70.21
15,Mombetsu,JP,1580257240,75,85,21.2,1.12,44.35,143.35
16,Hobart,AU,1580257241,75,43,73.4,16.11,-42.88,147.33
17,Arraial do Cabo,BR,1580257155,40,94,77.0,3.36,-22.97,-42.03
18,Paramonga,PE,1580257243,65,89,70.66,9.1,-10.67,-77.83
19,Zeya,RU,1580257244,0,82,-4.76,3.42,53.75,127.27
20,Bluff,NZ,1580257245,81,53,67.86,10.8,-46.6,168.33
21,Sharjah,AE,1580257247,0,87,60.8,3.36,25.36,55.4
22,Mariental,NA,1580257248,0,15,76.19,6.29,-24.63,17.97
23,Kapaa,US,1580257249,1,61,80.6,6.93,22.08,-159.32
24,Ambon,ID,1580257250,20,55,89.6,5.82,-3.7,128.18
25,Salamanca,ES,1580257029,90,93,50.0,9.17,40.83,-6.0
26,Atuona,PF,1580257252,5,80,80.47,13.13,-9.8,-139.03
27,Serebryansk,KZ,1580257254,90,85,12.2,15.66,49.69,83.29
28,Kangaatsiaq,GL,1580257255,88,82,11.57,15.79,68.31,-53.46
29,San Jose,US,1580257159,40,72,62.01,6.44,37.34,-121.89
30,Dingle,PH,1580257257,64,82,77.31,5.95,11.0,122.67
31,Carnarvon,AU,1580257258,40,83,77.0,19.46,-24.87,113.63
32,Mataura,NZ,1580257259,62,49,69.37,16.28,-46.19,168.86
33,Komatipoort,ZA,1580257261,0,89,69.01,1.21,-25.43,31.95
34,San Cristobal,VE,1580257235,20,69,80.6,2.46,7.77,-72.22
35,Saskylakh,RU,1580257263,97,96,-9.36,10.8,71.92,114.08
36,Pevek,RU,1580257264,100,98,-7.58,12.5,69.7,170.31
37,Gorontalo,ID,1580257265,44,79,80.44,4.83,0.54,123.06
38,San Patricio,MX,1580257266,5,69,80.6,11.41,19.22,-104.7
39,Peleduy,RU,1580257268,95,84,-2.13,2.35,59.63,112.74
40,George Town,MY,1580257269,20,69,80.6,4.7,5.41,100.34
41,Bariloche,AR,1580257270,20,34,53.6,11.41,-41.15,-71.31
42,Abu Zabad,SD,1580257271,20,18,59.41,13.09,12.35,29.25
43,Deputatsky,RU,1580257272,95,69,-20.7,4.21,69.3,139.9
44,Yellowknife,CA,1580257208,90,77,0.0,6.93,62.46,-114.35
45,Vaini,TO,1580257275,75,79,84.2,5.82,-21.2,-175.2
46,Upernavik,GL,1580257276,100,92,-11.2,7.07,72.79,-56.15
47,Mar del Plata,AR,1580257277,98,41,79.0,5.82,-38.0,-57.56
48,Zheleznodorozhnyy,RU,1580257278,90,92,32.0,4.47,55.75,38.0
49,Dikson,RU,1580257162,100,96,-14.55,13.4,73.51,80.55
50,Laas,IT,1580257281,90,79,33.01,5.19,46.62,10.7
51,Sur,OM,1580257282,0,46,62.74,10.85,22.57,59.53
52,Ilulissat,GL,1580257284,97,59,1.4,6.93,69.22,-51.1
53,Chifeng,CN,1580257193,100,79,15.76,7.27,42.27,118.96
54,Tautira,PF,1580257286,75,66,89.6,9.17,-17.73,-149.15
55,Qaanaaq,GL,1580257287,100,95,-12.01,4.99,77.48,-69.36
56,Qaqortoq,GL,1580257165,26,72,14.0,4.7,60.72,-46.03
57,Kaitangata,NZ,1580257289,71,77,69.01,11.99,-46.28,169.85
58,Barrow,US,1580257188,1,74,-27.4,4.7,71.29,-156.79
59,Busselton,AU,1580257291,98,67,69.01,1.01,-33.65,115.33
60,Rudnogorsk,RU,1580257293,100,95,4.78,2.75,57.26,103.75
61,Opuwo,NA,1580257294,48,68,71.38,1.25,-18.06,13.84
62,Esik,KZ,1580257295,20,92,17.6,6.71,43.36,77.45
63,Chokurdakh,RU,1580257069,100,97,-18.47,10.0,70.63,147.92
64,Gamba,GA,1580257297,99,90,78.21,3.4,-2.65,10.0
65,Broken Hill,AU,1580257298,0,13,89.6,17.22,-31.95,141.43
66,Zemio,CF,1580257299,6,26,63.7,3.6,5.03,25.14
67,College,US,1580257174,1,74,-13.0,3.38,64.86,-147.8
68,Ribeira Grande,PT,1580257188,75,93,62.6,11.41,38.52,-28.7
69,Fairbanks,US,1580257147,1,74,-13.0,3.27,64.84,-147.72
70,Nanortalik,GL,1580257304,83,68,24.35,12.48,60.14,-45.24
71,Kodiak,US,1580257305,90,85,19.4,13.87,57.79,-152.41
72,Port Hardy,CA,1580257255,75,81,46.4,17.22,50.7,-127.42
73,Berlevag,NO,1580257307,88,72,12.2,14.99,70.86,29.09
74,Alto Piquiri,BR,1580257032,9,78,72.68,6.4,-24.03,-53.44
75,Provincia di Gorizia,IT,1580257310,96,100,46.99,4.7,45.92,13.5
